,name,R,Z,coil_pair
8,d6_lower,1.30705,-1.4649501,d6
8,d6_lower,1.29235,-1.47965,d6
8,d6_lower,1.27765,-1.4943501,d6
8,d6_lower,1.27765,-1.47965,d6
8,d6_lower,1.2629501,-1.46495,d6
8,d6_lower,1.27765,-1.46495,d6
8,d6_lower,1.26295,-1.47965,d6
8,d6_lower,1.2482501,-1.49435,d6
8,d6_lower,1.26295,-1.4943501,d6
8,d6_lower,1.24825,-1.47965,d6
8,d6_lower,1.24825,-1.46495,d6
8,d6_lower,1.2482501,-1.45025,d6
8,d6_lower,1.26295,-1.45025,d6
8,d6_lower,1.27765,-1.45025,d6
8,d6_lower,1.2923499,-1.45025,d6
9,d6_upper,1.3070499,1.44565,d6
9,d6_upper,1.32175,1.44565,d6
9,d6_upper,1.32175,1.4603499,d6
9,d6_upper,1.3217499,1.47505,d6
9,d6_upper,1.3070501,1.4897499,d6
9,d6_upper,1.3217499,1.48975,d6
9,d6_upper,1.30705,1.47505,d6
9,d6_upper,1.29235,1.4603499,d6
9,d6_upper,1.30705,1.46035,d6
9,d6_upper,1.29235,1.47505,d6
9,d6_upper,1.27765,1.48975,d6
9,d6_upper,1.27765,1.47505,d6
9,d6_upper,1.2629501,1.4603499,d6
9,d6_upper,1.27765,1.4603499,d6
9,d6_upper,1.26295,1.47505,d6
9,d6_upper,1.2482501,1.4897499,d6
9,d6_upper,1.26295,1.48975,d6
9,d6_upper,1.24825,1.47505,d6
9,d6_upper,1.24825,1.4603499,d6
9,d6_upper,1.2482501,1.44565,d6
9,d6_upper,1.26295,1.44565,d6
9,d6_upper,1.27765,1.44565,d6
9,d6_upper,1.2923499,1.44565,d6
10,d7_lower,1.54205,-1.45025,d7
10,d7_lower,1.55675,-1.45025,d7
10,d7_lower,1.55675,-1.46495,d7
10,d7_lower,1.55675,-1.47965,d7
10,d7_lower,1.5420501,-1.49435,d7
10,d7_lower,1.5567499,-1.49435,d7
10,d7_lower,1.54205,-1.47965,d7
10,d7_lower,1.5273501,-1.46495,d7
10,d7_lower,1.5420499,-1.46495,d7
10,d7_lower,1.5273501,-1.47965,d7
10,d7_lower,1.5126501,-1.49435,d7
10,d7_lower,1.52735,-1.49435,d7
10,d7_lower,1.51265,-1.47965,d7
10,d7_lower,1.49795,-1.4649501,d7
10,d7_lower,1.51265,-1.46495,d7
10,d7_lower,1.49795,-1.47965,d7
10,d7_lower,1.48325,-1.49435,d7
10,d7_lower,1.48325,-1.47965,d7
10,d7_lower,1.48325,-1.4649501,d7
10,d7_lower,1.48325,-1.45025,d7
10,d7_lower,1.4979501,-1.45025,d7
10,d7_lower,1.51265,-1.45025,d7
10,d7_lower,1.52735,-1.45025,d7
11,d7_upper,1.54205,1.44565,d7
11,d7_upper,1.55675,1.44565,d7
11,d7_upper,1.55675,1.4603499,d7
11,d7_upper,1.55675,1.47505,d7
11,d7_upper,1.5420501,1.4897499,d7
11,d7_upper,1.5567499,1.4897499,d7
11,d7_upper,1.54205,1.47505,d7
11,d7_upper,1.5273501,1.4603499,d7
11,d7_upper,1.5420499,1.4603499,d7
11,d7_upper,1.5273501,1.47505,d7
11,d7_upper,1.5126501,1.4897499,d7
11,d7_upper,1.52735,1.4897499,d7
11,d7_upper,1.51265,1.47505,d7
11,d7_upper,1.49795,1.46035,d7
11,d7_upper,1.51265,1.4603499,d7
11,d7_upper,1.49795,1.47505,d7
11,d7_upper,1.48325,1.4897499,d7
11,d7_upper,1.48325,1.47505,d7
11,d7_upper,1.48325,1.46035,d7
11,d7_upper,1.48325,1.44565,d7
11,d7_upper,1.4979501,1.44565,d7
11,d7_upper,1.51265,1.44565,d7
11,d7_upper,1.52735,1.44565,d7
12,dp_lower,0.93285,-1.49095,dp
12,dp_lower,0.94755,-1.49095,dp
12,dp_lower,0.93285,-1.47625,dp
12,dp_lower,0.94755,-1.47625,dp
12,dp_lower,0.96225,-1.49095,dp
12,dp_lower,0.96225,-1.47625,dp
12,dp_lower,0.88875,-1.47625,dp
12,dp_lower,0.90345,-1.47625,dp
12,dp_lower,0.91815,-1.47625,dp
12,dp_lower,0.91815,-1.49095,dp
12,dp_lower,0.90345,-1.49095,dp
12,dp_lower,0.88875,-1.49095,dp
12,dp_lower,0.96225,-1.52035,dp
12,dp_lower,0.94755,-1.52035,dp
12,dp_lower,0.93285,-1.52035,dp
12,dp_lower,0.96225,-1.50565,dp
12,dp_lower,0.94755,-1.50565,dp
12,dp_lower,0.93285,-1.50565,dp
12,dp_lower,0.91815,-1.52035,dp
12,dp_lower,0.90345,-1.52035,dp
12,dp_lower,0.88875,-1.52035,dp
12,dp_lower,0.88874996,-1.50565,dp
12,dp_lower,0.90345,-1.50565,dp
12,dp_lower,0.91815,-1.50565,dp
13,dp_upper,0.93285,1.4863499,dp
13,dp_upper,0.94755,1.4863499,dp
13,dp_upper,0.93285,1.47165,dp
13,dp_upper,0.94755,1.47165,dp
13,dp_upper,0.96225,1.4863499,dp
13,dp_upper,0.96225,1.47165,dp
13,dp_upper,0.88875,1.47165,dp
13,dp_upper,0.90345,1.47165,dp
13,dp_upper,0.91815,1.47165,dp
13,dp_upper,0.91815,1.4863499,dp
13,dp_upper,0.90345,1.4863499,dp
13,dp_upper,0.88875,1.4863499,dp
13,dp_upper,0.96225,1.5157499,dp
13,dp_upper,0.94755,1.5157499,dp
13,dp_upper,0.93285,1.5157499,dp
13,dp_upper,0.96225,1.50105,dp
13,dp_upper,0.94755,1.50105,dp
13,dp_upper,0.93285,1.50105,dp
13,dp_upper,0.91815,1.5157499,dp
13,dp_upper,0.90345,1.5157499,dp
13,dp_upper,0.88875,1.5157499,dp
13,dp_upper,0.88874996,1.50105,dp
13,dp_upper,0.90345,1.50105,dp
13,dp_upper,0.91815,1.50105,dp
